[00:46:08] [Server thread/INFO]: DonkeyBG has made the advancement [Hidden in the Depths]
[01:09:53] [Server thread/INFO]: DonkeyBG has completed the challenge [Subspace Bubble]
[01:51:48] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/131407, l='ServerLevel[world]', x=-141.59, y=63.00, z=101.73]
[03:09:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12324, y=79, z=8945} fx{x=12325, y=79, z=8945}
[03:09:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12324, y=79, z=8945} fx{x=12325, y=79, z=8945}
[03:09:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12324, y=79, z=8945} fx{x=12325, y=79, z=8945}
[03:09:31] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12324, y=79, z=8945} fx{x=12330, y=78, z=8952}
[03:09:37] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12325, y=77, z=8951} fx{x=12325, y=77, z=8950}
[03:09:44] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12325, y=77, z=8951} fx{x=12319, y=76, z=8939}
[03:09:44] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12325, y=77, z=8951} fx{x=12319, y=76, z=8939}
[03:09:48] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12323, y=75, z=8938} fx{x=12323, y=75, z=8939}
[03:09:48] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12323, y=75, z=8938} fx{x=12323, y=75, z=8939}
[03:09:48] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12323, y=75, z=8938} fx{x=12323, y=75, z=8939}
[03:09:48] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12323, y=75, z=8938} fx{x=12323, y=75, z=8939}
[03:09:55] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12338, y=78, z=8949} fx{x=12338, y=78, z=8948}
[03:09:56] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12339, y=79, z=8948} fx{x=12340, y=79, z=8948}
[03:09:56] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12339, y=79, z=8948} fx{x=12340, y=79, z=8948}
[03:09:58] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12342, y=82, z=8948} fx{x=12341, y=80, z=8948}
[03:09:58] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12342, y=82, z=8948} fx{x=12341, y=80, z=8948}
[03:10:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12346, y=78, z=8949} fx{x=12345, y=78, z=8948}
[03:10:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12346, y=78, z=8949} fx{x=12345, y=78, z=8948}
[03:10:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12346, y=78, z=8949} fx{x=12345, y=78, z=8948}
[03:10:29] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12338, y=77, z=8949} fx{x=12341, y=78, z=8949}
[03:10:29] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12338, y=77, z=8949} fx{x=12341, y=78, z=8949}
[03:10:29] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12338, y=77, z=8949} fx{x=12341, y=78, z=8949}
[03:10:29] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12338, y=77, z=8949} fx{x=12341, y=78, z=8949}
[03:10:29] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12338, y=77, z=8949} fx{x=12341, y=78, z=8949}
[03:10:34] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12343, y=76, z=8945} fx{x=12343, y=77, z=8948}
[03:10:44] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12338, y=74, z=8946} fx{x=12339, y=73, z=8944}
[03:11:56] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12335, y=71, z=8943} fx{x=12335, y=70, z=8944}
[03:11:56] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12335, y=71, z=8943} fx{x=12335, y=70, z=8944}
[03:13:06] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12345, y=68, z=8946} fx{x=12344, y=68, z=8945}
[03:13:07] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12345, y=68, z=8946} fx{x=12344, y=68, z=8945}
[03:13:47] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12343, y=69, z=8950} fx{x=12342, y=68, z=8949}
[03:13:47] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12343, y=69, z=8950} fx{x=12342, y=68, z=8949}
[03:13:47] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12343, y=69, z=8950} fx{x=12342, y=68, z=8949}
[03:14:18] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12346, y=65, z=8941} fx{x=12347, y=64, z=8941}
[03:14:18] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12346, y=65, z=8941} fx{x=12347, y=64, z=8941}
[03:14:18] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12346, y=65, z=8941} fx{x=12347, y=64, z=8941}
[03:14:18] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12346, y=65, z=8941} fx{x=12347, y=64, z=8941}
[03:14:18] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12346, y=65, z=8941} fx{x=12347, y=64, z=8941}
[03:14:18] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12346, y=65, z=8941} fx{x=12347, y=64, z=8941}
[03:14:19] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12346, y=65, z=8941} fx{x=12347, y=64, z=8941}
[03:14:19] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12346, y=65, z=8941} fx{x=12347, y=64, z=8941}
[03:16:18] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12338, y=64, z=8942} fx{x=12343, y=64, z=8945}
[03:16:18] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12338, y=64, z=8942} fx{x=12343, y=64, z=8945}
[03:16:18] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12338, y=64, z=8942} fx{x=12343, y=64, z=8945}
[03:16:41] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12352, y=65, z=8952} fx{x=12352, y=65, z=8951}
[03:16:41] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12352, y=65, z=8952} fx{x=12352, y=65, z=8951}
[03:19:17] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12331, y=72, z=8934} fx{x=12331, y=73, z=8936}
[03:19:19] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12332, y=73, z=8937} fx{x=12332, y=73, z=8938}
[03:19:19] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12332, y=73, z=8937} fx{x=12332, y=73, z=8938}
[03:23:48] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12332, y=68, z=8946} fx{x=12332, y=67, z=8948}
[03:23:48] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12332, y=68, z=8946} fx{x=12332, y=67, z=8948}
[03:37:51] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12283, y=66, z=8884} fx{x=12284, y=65, z=8887}
[03:37:51] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12283, y=66, z=8884} fx{x=12284, y=65, z=8887}
[03:37:51] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12283, y=66, z=8884} fx{x=12284, y=65, z=8887}
[03:37:51] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12283, y=66, z=8884} fx{x=12284, y=65, z=8887}
[03:37:51] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12283, y=66, z=8884} fx{x=12284, y=65, z=8887}
[03:37:53] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12285, y=68, z=8884} fx{x=12285, y=67, z=8885}
[03:37:53] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12285, y=68, z=8884} fx{x=12285, y=67, z=8885}
[03:37:53] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12285, y=68, z=8884} fx{x=12285, y=67, z=8885}
[03:37:53] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12285, y=68, z=8884} fx{x=12285, y=67, z=8885}
[03:40:17] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12283, y=67, z=8887} fx{x=12283, y=66, z=8887}
[03:40:17] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12283, y=67, z=8887} fx{x=12283, y=66, z=8887}
[03:40:17] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12283, y=67, z=8887} fx{x=12283, y=66, z=8887}
[03:40:17] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12283, y=67, z=8887} fx{x=12283, y=66, z=8887}
[03:40:17] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12283, y=67, z=8887} fx{x=12283, y=66, z=8887}
[03:40:52] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12282, y=65, z=8891} fx{x=12283, y=65, z=8890}
[03:40:52] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12282, y=65, z=8891} fx{x=12283, y=65, z=8890}
[03:43:30] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12273, y=63, z=8877} fx{x=12274, y=63, z=8877}
[03:43:54] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12279, y=63, z=8882} fx{x=12278, y=63, z=8882}
[03:43:54] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12279, y=63, z=8882} fx{x=12278, y=63, z=8882}
[03:43:54] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12279, y=63, z=8882} fx{x=12278, y=63, z=8882}
[03:50:42] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12357, y=68, z=8886} fx{x=12357, y=66, z=8884}
[03:50:42] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12357, y=68, z=8886} fx{x=12357, y=66, z=8884}
[03:50:42] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12357, y=68, z=8886} fx{x=12357, y=66, z=8884}
[03:50:42] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12357, y=68, z=8886} fx{x=12357, y=66, z=8884}
[03:50:42] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12357, y=68, z=8886} fx{x=12357, y=66, z=8884}
[03:50:43] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12357, y=68, z=8886} fx{x=12357, y=66, z=8884}
[03:51:38] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12348, y=67, z=8889} fx{x=12349, y=65, z=8889}
[03:51:39] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12348, y=67, z=8889} fx{x=12349, y=65, z=8889}
[04:12:43] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12387, y=66, z=8964} fx{x=12387, y=67, z=8963}
[04:12:43] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12387, y=66, z=8964} fx{x=12387, y=67, z=8963}
[04:12:43] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12387, y=66, z=8964} fx{x=12387, y=67, z=8963}
[04:12:43] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12387, y=66, z=8964} fx{x=12387, y=67, z=8963}
[04:12:43] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12387, y=66, z=8964} fx{x=12387, y=67, z=8963}
[04:12:45] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12388, y=67, z=8961} fx{x=12387, y=67, z=8960}
[04:12:45] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12388, y=67, z=8961} fx{x=12387, y=67, z=8960}
[04:12:45] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12388, y=67, z=8961} fx{x=12387, y=67, z=8960}
[04:14:58] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12388, y=63, z=8962} fx{x=12388, y=63, z=8963}
[04:14:58] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12388, y=63, z=8962} fx{x=12388, y=63, z=8963}
[04:14:58] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12388, y=63, z=8962} fx{x=12388, y=63, z=8963}
[04:14:58] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12388, y=63, z=8962} fx{x=12388, y=63, z=8963}
[04:16:12] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12380, y=66, z=8945} fx{x=12380, y=65, z=8946}
[04:16:12] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12380, y=66, z=8945} fx{x=12380, y=65, z=8946}
[04:16:12] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12380, y=66, z=8945} fx{x=12380, y=65, z=8946}
[04:16:12] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12380, y=66, z=8945} fx{x=12380, y=65, z=8946}
[04:16:12] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12380, y=66, z=8945} fx{x=12380, y=65, z=8946}
[04:16:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12371, y=74, z=8935} fx{x=12371, y=72, z=8938}
[04:16:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12371, y=74, z=8935} fx{x=12371, y=72, z=8938}
[04:16:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12371, y=74, z=8935} fx{x=12371, y=72, z=8938}
[04:16:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12371, y=74, z=8935} fx{x=12371, y=72, z=8938}
[04:16:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12371, y=74, z=8935} fx{x=12371, y=72, z=8938}
[04:16:35] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12368, y=82, z=8933} fx{x=12367, y=83, z=8933}
[04:16:35] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12368, y=82, z=8933} fx{x=12367, y=83, z=8933}
[04:17:22] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12360, y=69, z=8935} fx{x=12360, y=69, z=8934}
[04:17:22] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12360, y=69, z=8935} fx{x=12360, y=69, z=8934}
[04:23:12] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12371, y=64, z=9017} fx{x=12372, y=64, z=9018}
[04:23:12] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12371, y=64, z=9017} fx{x=12372, y=63, z=9018}
[04:33:16] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12445, y=64, z=9168} fx{x=12445, y=63, z=9168}
[06:13:35] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/213747, l='ServerLevel[world]', x=-144.41, y=63.00, z=97.04]
[06:25:16] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12313, y=68, z=8957} fx{x=12313, y=67, z=8959}
[06:25:16] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12313, y=68, z=8957} fx{x=12313, y=67, z=8959}
[06:25:16] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12313, y=68, z=8957} fx{x=12313, y=67, z=8959}
[06:27:01] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/223258, l='ServerLevel[world]', x=12317.61, y=63.75, z=8970.61]
[06:27:02] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12317, y=63, z=8968} fx{x=12316, y=63, z=8969}
[06:27:02] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12317, y=63, z=8968} fx{x=12316, y=63, z=8969}
[06:46:08] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12270, y=64, z=8927} fx{x=12253, y=64, z=8944}
[06:46:08] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12270, y=64, z=8927} fx{x=12253, y=64, z=8944}
[06:46:09] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12270, y=64, z=8927} fx{x=12253, y=64, z=8944}
[06:46:09] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12270, y=64, z=8927} fx{x=12253, y=64, z=8944}
[06:46:09] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12270, y=64, z=8927} fx{x=12253, y=64, z=8944}
[06:46:09] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12270, y=64, z=8927} fx{x=12253, y=64, z=8944}
[06:46:09] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12270, y=64, z=8927} fx{x=12253, y=64, z=8944}
[06:46:09] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12270, y=64, z=8927} fx{x=12253, y=64, z=8944}
[06:46:09] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12270, y=64, z=8927} fx{x=12253, y=64, z=8944}
[06:46:09] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12270, y=64, z=8927} fx{x=12253, y=64, z=8944}
[07:43:50] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/239873, l='ServerLevel[world]', x=-125.80, y=78.00, z=169.18]
[08:01:11] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=10, y=101, z=28} fx{x=10, y=100, z=27}
[08:02:18] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/244147, l='ServerLevel[world]', x=-125.20, y=78.00, z=168.20]
[08:07:02] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=9, y=110, z=38} fx{x=9, y=108, z=34}
[08:07:08] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=9, y=106, z=32} fx{x=9, y=105, z=31}
[08:07:08] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=10, y=105, z=31} fx{x=9, y=105, z=31}
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 10.635906006451592,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 14.183137920436252,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 17.731325059799588,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 21.28045826191351,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 24.830528431411267,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 28.381526531996656,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 31.93344359324476,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 35.48627070615237,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 39.03999890697844,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 42.59461941253869,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 46.15012339097791,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 49.706502077788514,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 53.26374677506999,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 56.82184885452136,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 60.38079974550021,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 63.940590949289,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 67.50121402712841,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 71.062660603283,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 74.62492228611666,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 78.1879908284551,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 81.75185796953485,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 85.31651551710877,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 88.88195541374796,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 92.44816959379716,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 96.01515005797148,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 99.58288887262631,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 103.15137816531012,0.0,0.0
[08:10:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 106.7206100719369,0.0,0.0
[08:13:21] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=1544, y=80, z=1097} fx{x=1544, y=81, z=1098}
[08:15:42] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=1510, y=115, z=1099} fx{x=1513, y=112, z=1098}
[08:15:48] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=1510, y=115, z=1099} fx{x=1520, y=105, z=1098}
[08:15:53] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=1523, y=102, z=1098} fx{x=1524, y=101, z=1098}
[08:16:11] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=1535, y=90, z=1098} fx{x=1535, y=90, z=1099}
[08:17:42] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! -10.246757295068619,0.0,0.0
[08:17:52] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! -11.978881576402273,0.0,0.0
[08:18:22] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved too quickly! 0.03393087838741593,0.0,-10.32152494400583
[08:18:25] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved wrongly! 0.5319033540410771
[08:18:25] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved wrongly! 0.4635815169871478
[08:18:25] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved wrongly! 0.40059370508555503
[08:18:25] [Server thread/WARN]: Boat (vehicle of DonkeyBG) moved wrongly! 0.29647836226740765
[08:36:55] [Server thread/INFO]: DonkeyBG lost connection: Disconnected
[08:36:55] [Server thread/INFO]: DonkeyBG left the game
[09:43:54] [Server thread/INFO]: Stopping server
[09:43:54] [Server thread/INFO]: Saving players
[09:43:54] [Server thread/INFO]: Saving worlds
[09:43:54] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[09:43:55] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[09:43:55] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[09:43:55] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[09:43:55] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[09:43:55] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[09:43:55] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[09:43:55] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[09:43:55] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
